Match: match at time 3785:DUT_HRDATA: xxxxxxxx, GOLDEN_HRDATA: xxxxxxxx
Match: match at time 3795:DUT_HRDATA: xxxxxxxx, GOLDEN_HRDATA: xxxxxxxx
Match: match at time 3805:DUT_HRDATA: xxxxxxxx, GOLDEN_HRDATA: xxxxxxxx
Match: match at time 3815:DUT_HRDATA: xxxxxxxx, GOLDEN_HRDATA: xxxxxxxx
Match: match at time 3825:DUT_HRDATA: xxxxxxxx, GOLDEN_HRDATA: xxxxxxxx
Match: match at time 3835:DUT_HRDATA: xxxxxxxx, GOLDEN_HRDATA: xxxxxxxx
Match: match at time 3845:DUT_HRDATA: xxxxxxxx, GOLDEN_HRDATA: xxxxxxxx
Match: match at time 3965:DUT_HRDATA: xxxxxxxx, GOLDEN_HRDATA: xxxxxxxx
Match: match at time 4295:DUT_HRDATA: xxxxxxxx, GOLDEN_HRDATA: xxxxxxxx
Match: match at time 4345:DUT_HRDATA: xxxxxxxx, GOLDEN_HRDATA: xxxxxxxx
Match: match at time 4365:DUT_HRDATA: xxxxxxxx, GOLDEN_HRDATA: xxxxxxxx
Match: match at time 4375:DUT_HRDATA: xxxxxxxx, GOLDEN_HRDATA: xxxxxxxx
Match: match at time 4385:DUT_HRDATA: xxxxxxxx, GOLDEN_HRDATA: xxxxxxxx
Match: match at time 4695:DUT_HRDATA: xxxxxxxx, GOLDEN_HRDATA: xxxxxxxx
Match: match at time 4705:DUT_HRDATA: xxxxxxxx, GOLDEN_HRDATA: xxxxxxxx
Match: match at time 4725:DUT_HRDATA: xxxxxxxx, GOLDEN_HRDATA: xxxxxxxx
Match: match at time 4735:DUT_HRDATA: xxxxxxxx, GOLDEN_HRDATA: xxxxxxxx
Match: match at time 4745:DUT_HRDATA: xxxxxxxx, GOLDEN_HRDATA: xxxxxxxx
Match: match at time 4755:DUT_HRDATA: xxxxxxxx, GOLDEN_HRDATA: xxxxxxxx
Match: match at time 4765:DUT_HRDATA: xxxxxxxx, GOLDEN_HRDATA: xxxxxxxx
Match: match at time 4775:DUT_HRDATA: xxxxxxxx, GOLDEN_HRDATA: xxxxxxxx
Match: match at time 4785:DUT_HRDATA: xxxxxxxx, GOLDEN_HRDATA: xxxxxxxx
Match: match at time 4795:DUT_HRDATA: xxxxxxxx, GOLDEN_HRDATA: xxxxxxxx
Match: match at time 4805:DUT_HRDATA: xxxxxxxx, GOLDEN_HRDATA: xxxxxxxx
Match: match at time 4815:DUT_HRDATA: xxxxxxxx, GOLDEN_HRDATA: xxxxxxxx
Match: match at time 4825:DUT_HRDATA: xxxxxxxx, GOLDEN_HRDATA: xxxxxxxx
Match: match at time 4835:DUT_HRDATA: xxxxxxxx, GOLDEN_HRDATA: xxxxxxxx
Match: match at time 4845:DUT_HRDATA: xxxxxxxx, GOLDEN_HRDATA: xxxxxxxx
Match: match at time 4855:DUT_HRDATA: xxxxxxxx, GOLDEN_HRDATA: xxxxxxxx
Match: match at time 4865:DUT_HRDATA: xxxxxxxx, GOLDEN_HRDATA: xxxxxxxx
Match: match at time 4875:DUT_HRDATA: xxxxxxxx, GOLDEN_HRDATA: xxxxxxxx
Match: match at time 4885:DUT_HRDATA: xxxxxxxx, GOLDEN_HRDATA: xxxxxxxx
Match: match at time 4895:DUT_HRDATA: xxxxxxxx, GOLDEN_HRDATA: xxxxxxxx
Match: match at time 4905:DUT_HRDATA: xxxxxxxx, GOLDEN_HRDATA: xxxxxxxx
Match: match at time 4915:DUT_HRDATA: xxxxxxxx, GOLDEN_HRDATA: xxxxxxxx
Match: match at time 4925:DUT_HRDATA: xxxxxxxx, GOLDEN_HRDATA: xxxxxxxx
Match: match at time 4935:DUT_HRDATA: xxxxxxxx, GOLDEN_HRDATA: xxxxxxxx
Match: match at time 4945:DUT_HRDATA: xxxxxxxx, GOLDEN_HRDATA: xxxxxxxx
Match: match at time 4955:DUT_HRDATA: xxxxxxxx, GOLDEN_HRDATA: xxxxxxxx
Match: match at time 4965:DUT_HRDATA: xxxxxxxx, GOLDEN_HRDATA: xxxxxxxx
Match: match at time 4975:DUT_HRDATA: xxxxxxxx, GOLDEN_HRDATA: xxxxxxxx
Match: match at time 4985:DUT_HRDATA: xxxxxxxx, GOLDEN_HRDATA: xxxxxxxx
Match: match at time 4995:DUT_HRDATA: xxxxxxxx, GOLDEN_HRDATA: xxxxxxxx
Match: match at time 5005:DUT_HRDATA: xxxxxxxx, GOLDEN_HRDATA: xxxxxxxx
Match: match at time 5015:DUT_HRDATA: xxxxxxxx, GOLDEN_HRDATA: xxxxxxxx
Match: match at time 5025:DUT_HRDATA: xxxxxxxx, GOLDEN_HRDATA: xxxxxxxx
Match: match at time 5035:DUT_HRDATA: xxxxxxxx, GOLDEN_HRDATA: xxxxxxxx
Match: match at time 5045:DUT_HRDATA: xxxxxxxx, GOLDEN_HRDATA: xxxxxxxx
Match: match at time 5055:DUT_HRDATA: xxxxxxxx, GOLDEN_HRDATA: xxxxxxxx
Match: match at time 5065:DUT_HRDATA: xxxxxxxx, GOLDEN_HRDATA: xxxxxxxx
Match: match at time 5075:DUT_HRDATA: xxxxxxxx, GOLDEN_HRDATA: xxxxxxxx
